Infinitif;Présent;Prétérit;Parfait;Traduction
anbieten;bietet an;bot an;hat angeboten;offrir, proposer
anfangen;fängt an;fing an;hat angefangen;commencer
anziehen;zieht an;zog an;hat angezogen;mettre (vêtement)
aufgeben;gibt auf;gab auf;hat aufgegeben;abandonner
ausblasen;bläst aus;blies aus;hat ausgeblasen;souffler (bougie)
ausgeben;gibt aus;gab aus;hat ausgegeben;dépenser (argent)
aussehen;sieht aus;sah aus;hat ausgesehen;avoir l'air
ausziehen;zieht aus;zog aus;hat ausgezogen;enlever (vêtement)
ausziehen;zieht aus;zog aus;ist ausgezogen;déménager
backen;bäckt;backte / buk;hat gebacken;faire cuire au four (pâtisserie)
befehlen;befiehlt;befahl;hat befohlen;donner un ordre
sich befinden;befindet sich;befand sich;hat sich befunden;se trouver
beginnen;beginnt;begann;hat begonnen;commencer
beißen;beißt;biss;hat gebissen;mordre
beschreiben;beschreibt;beschrieb;hat beschrieben;décrire
binden;bindet;band;hat gebunden;attacher
bitten;bittet;bat;hat gebeten;prier, demander (poliment)
bleiben;bleibt;blieb;ist geblieben;rester
brennen;brennt;brannte;hat gebrannt;brûler
bringen;bringt;brachte;hat gebracht;apporter
denken;denkt;dachte;hat gedacht;penser
dürfen;darf;durfte;hat gedurft;avoir le droit
einladen;lädt ein;lud ein;hat eingeladen;inviter
empfangen;empfängt;empfing;hat empfangen;recevoir
empfinden;empfindet;empfand;hat empfunden;ressentir
sich entschließen;entschließt sich;entschloss sich;hat sich entschlossen;se décider
erfahren;erfährt;erfuhr;hat erfahren;apprendre (une nouvelle)
ertragen;erträgt;ertrug;hat ertragen;supporter (un problème)
erziehen;erzieht;erzog;hat erzogen;éduquer
essen;isst;aß;hat gegessen;manger
fahren;fährt;fuhr;ist gefahren;aller (en véhicule)
fallen;fällt;fiel;ist gefallen;tomber
fangen;fängt;fing;hat gefangen;attraper
fernsehen;sieht fern;sah fern;hat ferngesehen;regarder la télévision
finden;findet;fand;hat gefunden;trouver
fliegen;fliegt;flog;ist geflogen;voler (avion, oiseau)
fliehen;flieht;floh;ist geflohen;fuir
fließen;fließt;floß;ist geflossen;couler
fressen;frisst;fraß;hat gefressen;bouffer, manger (animaux)
frieren;friert;fror;hat gefroren;geler, avoir froid
geben;gibt;gab;hat gegeben;donner
gefallen;gefällt;gefiel;hat gefallen;plaire
gehen;geht;ging;ist gegangen;aller (à pied)
gelingen;gelingt;gelang;ist gelungen;réussir
geschehen;geschieht;geschah;ist geschehen;arriver, se passer
gewinnen;gewinnt;gewann;hat gewonnen;gagner
gießen;gießt;goss;hat gegossen;verser
gleichen;gleicht;glich;hat geglichen;ressembler
haben;hat;hatte;hat gehabt;avoir
halten;hält;hielt;hat gehalten;tenir arrêter
hängen;hängt;hing;hat gehangen;être suspendu, être accroché
heißen;heißt;hieß;hat geheißen;s'appeler
helfen;hilft;half;hat geholfen;aider
kennen;kennt;kannte;hat gekannt;connaître
kommen;kommt;kam;ist gekommen;venir
können;kann;konnte;hat gekonnt;pouvoir, savoir
lassen;lässt;ließ;hat gelassen;laisser
laufen;läuft;lief;ist gelaufen;aller, courir
leiden;leidet;litt;hat gelitten;souffrir
leihen;leiht;lieh;hat geliehen;prêter
lesen;liest;las;hat gelesen;lire
liegen;liegt;lag;hat gelegen;être allongé, posé, situé
lügen;lügt;log;hat gelogen;mentir
mitnehmen;nimmt mit;nahm mit;hat mitgenommen;emmener
mögen;mag;mochte;hat gemocht;aimer bien
müssen;muss;musste;hat gemusst;être obligé
nehmen;nimmt;nahm;hat genommen;prendre
nennen;nennt;nannte;hat genannt;appeler (par un nom)
raten;rät;riet;hat geraten;conseiller, conseiller
reiten;reitet;ritt;hat geritten;faire du cheval
rennen;rennt;rannte;ist gerannt;courir (vite)
riechen;riecht;roch;hat gerochen;sentir (odeur)
rufen;ruft;rief;hat gerufen;appeler, crier
scheinen;scheint;schien;hat geschienen;"briller;sembler"
schießen;schießt;schoss;hat geschossen;tirer (un projectile)
schlafen;schläft;schlief;hat geschlafen;dormir
schlagen;schlägt;schlug;hat geschlagen;frapper, battre, taper
schließen;schließt;schloss;hat geschlossen;fermer
schneiden;schneidet;schnitt;hat geschnitten;couper
schreiben;schreibt;schrieb;hat geschrieben;écrire
schreien;schreit;schrie;hat geschrieen;crier (fort)
schweigen;schweigt;schwieg;hat geschwiegen;se taire
schwimmen;schwimmt;schwamm;ist geschwommen;nager
sehen;sieht;sah;hat gesehen;voir
sein;ist;war;ist gewesen;être
singen;singt;sang;hat gesungen;chanter
sitzen;sitzt;saß;hat gesessen;être assis
sollen;soll;sollte;hat gesollt;devoir, avoir l'obligation morale
sprechen;spricht;sprach;hat gesprochen;parler
springen;springt;sprang;ist gesprungen;sauter
stehen;steht;stand;hat gestanden;être debout
stehlen;stiehlt;stahl;hat gestohlen;voler, dérober
steigen;steigt;stieg;ist gestiegen;monter
sterben;stirbt;starb;ist gestorben;mourir
(sich) streiten;streitet (sich);stritt (sich);hat (sich) gestritten;se disputer
tragen;trägt;trug;hat getragen;porter
(sich) treffen;trifft (sich);traf (sich);hat (sich) getroffen;(se) rencontrer
treiben;treibt;trieb;hat getrieben;faire (du sport)
treten;tritt;trat;ist getreten;donner un coup de pied
trinken;trinkt;trank;hat getrunken;boire
tun;tut;tat;hat getan;faire (familier)
umziehen;zieht um;zog um;ist umgezogen;déménager
unterbrechen;unterbricht;unterbrach;hat unterbrochen;interrompre
unternehmen;unternimmt;unternahm;hat unternommen;entreprendre
verbieten;verbietet;verbot;hat verboten;interdire
verbringen;verbringt;verbrachte;hat verbracht;passer (du temps)
vergessen;vergisst;vergaß;hat vergessen;oublier
verlassen;verlässt;verließ;hat verlassen;quitter
verlieren;verliert;verlor;hat verloren;perdre
vermeiden;vermeidet;vermied;hat vermieden;éviter
verschwinden;verschwindet;verschwand;ist verschwunden;disparaître
verzeihen;verzeiht;verzieh;hat verziehen;pardonner
vorschlagen;schlägt vor;schlug vor;hat vorgeschlagen;proposer
wachsen;wächst;wuchs;ist gewachsen;pousser, grandir
waschen;wäscht;wusch;hat gewaschen;laver
werben;wirbt;warb;hat geworben;faire de la publicité
werden;wird;wurde;ist geworden;devenir
werfen;wirft;warf;hat geworfen;lancer, jeter
wissen;weiß;wusste;hat gewusst;savoir
wollen;will;wollte;hat gewollt;vouloir
zerbrechen;zerbricht;zerbrach;hat zerbrochen;casser (en morceaux)
ziehen;zieht;zog;ist gezogen;tirer (vers soi)
zwingen;zwingt;zwang;hat gezwungen;contraindre, obliger
